"Contract ","Sales Order","Created Date","Product: Product Name","Quantity Ordered","Customer ","Unit Price","Product: Metal: Metal Name","Product: Product Code"
"CON-40795","SO-23001","9/21/2021","Gold Austrian 1000 Shilling","25.000000","Central Refining","690.820000","Gold","G1000SHIL"
"CON-38075","SO-21367","5/28/2021","Gold 100 Corona","20.000000","Dillon Gage Inc. of Dallas","1864.500000","Gold","G100COR"
"CON-36722","SO-20379","3/17/2021","Gold 100 Corona","1.000000","APMEX Inc.","1724.760000","Gold","G100COR"
"CON-37357","SO-20871","4/19/2021","Gold 100 Corona","4.000000","APMEX Inc.","1750.930000","Gold","G100COR"
"CON-42270","SO-23994","11/10/2021","Gold 100 Corona","5.000000","Claudio Vallejo","1818.000000","Gold","G100COR"
"CON-42426","SO-24098","11/17/2021","Gold 100 Corona","4.000000","Dillon Gage Inc. of Dallas","1828.070000","Gold","G100COR"
"CON-35458","SO-19459","1/25/2021","Gold 100 Corona","7.000000","Claudio Vallejo","1826.380000","Gold","G100COR"
"CON-35217","SO-19264","1/15/2021","Gold 10 Guilder","1.000000","APMEX Inc.","358.260000","Gold","G10GUILD"
"CON-36722","SO-20379","3/17/2021","Gold 10 Guilder","2.000000","APMEX Inc.","341.620000","Gold","G10GUILD"
"CON-38735","SO-21746","6/24/2021","Gold 10 Guilder","2.000000","APMEX Inc.","352.530000","Gold","G10GUILD"
"CON-38753","SO-21759","6/25/2021","Gold 10 Guilder","50.000000","Claudio Vallejo","351.000000","Gold","G10GUILD"
"CON-40795","SO-23001","9/21/2021","Gold 10 Guilder","114.000000","Central Refining","344.350000","Gold","G10GUILD"
"CON-42426","SO-24098","11/17/2021","Gold 10 Guilder","50.000000","Dillon Gage Inc. of Dallas","363.120000","Gold","G10GUILD"
"CON-40470","SO-22817","9/14/2021","Gold 10 Kroner","115.000000","Pacifica Trading","264.000000","Gold","G10KRON"
"CON-39922","SO-22515","8/25/2021","Gold $10 Modern Commem.","29.000000","Minneapolis Gold & Silver","892.000000","Gold","G10MC"
"CON-34748","SO-18952","1/4/2021","Gold $10 Modern Commem.","19.000000","John Watson","942.540000","Gold","G10MC"
"CON-37041","SO-20631","4/1/2021","Gold $10 Modern Commem.","10.000000","Wilshire Coin Exchange/ WC3 Wholesale","856.510000","Gold","G10MC"
"CON-40163","SO-22660","9/2/2021","Gold $10 Modern Commem.","13.000000","Great Collections.com","910.000000","Gold","G10MC"
"CON-37929","SO-21269","5/20/2021","Gold $10 Modern Commem.","4.000000","Money Metals Exchange LLC","943.150000","Gold","G10MC"
"CON-39645","SO-22315","8/11/2021","Gold $10 Modern Commem.","14.000000","Nieffenegger Company, LLC","872.600000","Gold","G10MC"
"CON-39635","SO-22316","8/11/2021","Gold $10 Modern Commem.","3.000000","APMEX Inc.","857.330000","Gold","G10MC"
"CON-41105","SO-23205","10/1/2021","Gold $10 Modern Commem.","5.000000","Money Metals Exchange LLC","869.750000","Gold","G10MC"
"CON-42426","SO-24098","11/17/2021","Gold $10 Modern Commem.","8.000000","Dillon Gage Inc. of Dallas","902.280000","Gold","G10MC"
"CON-41001","SO-23126","9/28/2021","Gold $10 Modern Commem.","8.000000","Flower Hill Collectables","805.000000","Gold","G10MC"
"CON-36744","SO-20401","3/18/2021","Gold Russian 10 Rouble","1.000000","Gleyzer International Inc","470.000000","Gold","G10ROUB"
"CON-38004","SO-21318","5/25/2021","Gold 1 Ducat","33.000000","A-Mark Precious Metals, Inc.","210.330000","Gold","G1DUC"
"CON-38173","SO-21422","6/4/2021","Gold 1 Ducat","63.000000","A-Mark Precious Metals, Inc.","208.880000","Gold","G1DUC"
"CON-36570","SO-20265","3/10/2021","Gold 1 Ducat","5.000000","A-Mark Precious Metals, Inc.","190.170000","Gold","G1DUC"
"CON-42404","SO-24081","11/16/2021","Gold 20 Franc Angel","2.000000","The Bronze Look, LLC","359.000000","Gold","G20FA"
"CON-35582","SO-19531","1/28/2021","Gold 20 Franc Angel","40.000000","APMEX Inc.","353.270000","Gold","G20FA"
"CON-35217","SO-19264","1/15/2021","Gold 20 Franc Angel","10.000000","APMEX Inc.","343.620000","Gold","G20FA"
"CON-36999","SO-20600","3/31/2021","Gold 20 Franc Mixed Types","10.000000","Williams Coin Stamp & Bullion","332.000000","Gold","G20FMIX"
"CON-39136","SO-21991","7/20/2021","Gold 20 Franc Mixed Types","22.000000","Wilshire Coin Exchange/ WC3 Wholesale","338.930000","Gold","G20FMIX"
"CON-37874","SO-21237","5/18/2021","Gold 20 Franc Mixed Types","1.000000","Gold Rush Mercantile & Trading","363.440000","Gold","G20FMIX"
"CON-40156","SO-22659","9/2/2021","Gold 20 Franc Mixed Types","67.000000","Capstone Acquisitions","349.740000","Gold","G20FMIX"
"CON-40175","SO-22668","9/3/2021","Gold 20 Franc Mixed Types","16.000000","Capstone Acquisitions","353.650000","Gold","G20FMIX"
"CON-38034","SO-21335","5/26/2021","Gold 20 Franc Mixed Types","6.000000","Gold Rush Mercantile & Trading","368.500000","Gold","G20FMIX"
"CON-38181","SO-21427","6/4/2021","Gold 20 Franc Mixed Types","6.000000","Gold Rush Mercantile & Trading","368.000000","Gold","G20FMIX"
"CON-38377","SO-21528","6/11/2021","Gold 20 Franc Mixed Types","6.000000","Gold Rush Mercantile & Trading","365.200000","Gold","G20FMIX"
"CON-42787","SO-24376","12/3/2021","Gold 20 Franc Mixed Types","8.000000","Gold Rush Mercantile & Trading","345.000000","Gold","G20FMIX"
"CON-36205","SO-20002","2/23/2021","Gold 20 Franc Napoleon","21.000000","John Watson","345.550000","Gold","G20FN"
"CON-36276","SO-20055","2/26/2021","Gold 20 Franc Napoleon","78.000000","John Watson","334.000000","Gold","G20FN"
"CON-35198","SO-19249","1/15/2021","Gold 20 Franc Napoleon","52.000000","GVS Austria E.U.","344.250000","Gold","G20FN"
"CON-39913","SO-22508","8/25/2021","Gold 20 Franc Rooster","68.000000","APMEX Inc.","342.000000","Gold","G20FR"
"CON-36534","SO-20236","3/8/2021","Gold 20 Franc Rooster","3.000000","Gold Rush Mercantile & Trading","329.000000","Gold","G20FR"
"CON-36205","SO-20002","2/23/2021","Gold 20 Franc Rooster","78.000000","John Watson","345.550000","Gold","G20FR"
"CON-36455","SO-20178","3/4/2021","Gold 20 Franc Rooster","10.000000","Numismatic Treasures Ltd.","328.000000","Gold","G20FR"
"CON-38904","SO-21859","7/8/2021","Gold 20 Franc Rooster","8.000000","Gold Rush Mercantile & Trading","351.000000","Gold","G20FR"
"CON-38637","SO-21680","6/17/2021","Gold 20 Franc Rooster","6.000000","Gold Rush Mercantile & Trading","346.000000","Gold","G20FR"
"CON-41170","SO-23250","10/4/2021","Gold 20 Franc Rooster","40.000000","Capstone Acquisitions","346.400000","Gold","G20FR"
"CON-41219","SO-23286","10/6/2021","Gold 20 Franc Rooster","15.000000","Capstone Acquisitions","344.000000","Gold","G20FR"
"CON-42404","SO-24081","11/16/2021","Gold 20 Franc Rooster","2.000000","The Bronze Look, LLC","359.000000","Gold","G20FR"
"CON-41415","SO-23416","10/13/2021","Gold 20 Franc Rooster","26.000000","Capstone Acquisitions","350.500000","Gold","G20FR"
"CON-41074","SO-23178","9/30/2021","Gold 20 Franc Rooster","50.000000","Capstone Acquisitions","340.000000","Gold","G20FR"
"CON-36329","SO-20089","3/1/2021","Gold 20 Franc Suisse","13.000000","John Watson","332.000000","Gold","G20FS"
"CON-39344","SO-22103","7/28/2021","Gold 20 Franc Suisse","105.000000","Wilshire Coin Exchange/ WC3 Wholesale","342.150000","Gold","G20FS"
"CON-36999","SO-20600","3/31/2021","Gold 20 Franc Suisse","15.000000","Williams Coin Stamp & Bullion","332.000000","Gold","G20FS"
"CON-39136","SO-21991","7/20/2021","Gold 20 Franc Suisse","200.000000","Wilshire Coin Exchange/ WC3 Wholesale","343.930000","Gold","G20FS"
"CON-35964","SO-19834","2/8/2021","Gold 20 Franc Suisse","55.000000","A-Mark Precious Metals, Inc.","342.800000","Gold","G20FS"
"CON-35965","SO-19835","2/8/2021","Gold 20 Franc Suisse","80.000000","APMEX Inc.","348.950000","Gold","G20FS"
"CON-37874","SO-21237","5/18/2021","Gold 20 Franc Suisse","2.000000","Gold Rush Mercantile & Trading","363.440000","Gold","G20FS"
"CON-39493","SO-22195","8/5/2021","Gold 20 Franc Suisse","160.000000","Beverly Hills PMX, Inc.","350.000000","Gold","G20FS"
"CON-37221","SO-20768","4/12/2021","Gold 20 Franc Suisse","50.000000","Capstone Acquisitions","336.500000","Gold","G20FS"
"CON-40191","SO-22678","9/3/2021","Gold 20 Franc Suisse","73.000000","Beverly Hills PMX, Inc.","358.200000","Gold","G20FS"
"CON-39025","SO-21931","7/16/2021","Gold 20 Franc Suisse","50.000000","Dillon Gage Inc. of Dallas","341.960000","Gold","G20FS"
"CON-39026","SO-21932","7/16/2021","Gold 20 Franc Suisse","100.000000","Wilshire Coin Exchange/ WC3 Wholesale","345.110000","Gold","G20FS"
"CON-36129","SO-19950","2/19/2021","Gold 20 Franc Suisse","7.000000","Santa Fe Coins and Jewelry","341.000000","Gold","G20FS"
"CON-36139","SO-19956","2/19/2021","Gold 20 Franc Suisse","100.000000","Capstone Acquisitions","341.700000","Gold","G20FS"
